"country_name","timeperiod","v2x_libdem","pandem","panback","Type1","Type2","Type3","Type4","Type5","Type6","Type7","discrim","ndrights","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govdis","pomviol","emlimit","emlaw","emstart","emend","emlimitdate","emlawapp","emlegapp","leglimit","legdisdate","legresdate","melim","melimstart","melimend","subvar","milinv","time","emname","misclimit"
"Chad","Jul-Sep",0.11,0.25,0.0979,0,0,0,0,0,2,3,0,0,0,1,0,0,1,1,2,0,1,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,1,NA,NA,NA
"Chile","Mar-Sep",0.762,0.1,0.0725424,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,"2020-03-19",NA,"2020-11-13",0,0,2,NA,NA,0,NA,NA,2,1,"2020-09-07","Constitution Articles 19, 32, 39, 41 and 43 and Law nº 18415 (Ley Organica Constitucional de los Estados de Excepcion)","The national plebiscite was postponed from April 26 to October 25."
"Chile","Mar-Jun",0.762,0.1,0.0725424,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,1,NA,NA,NA
"Chile","Jul-Sep",0.762,0.1,0.0725424,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,1,NA,NA,NA
"China","Mar-Sep",0.05,0.3,0.057,1,0,0,2,0,0,3,1,0,1,1,1,2,1,0,0,0,0,6,"2020-01-24",NA,NA,1,1,0,NA,NA,1,NA,NA,3,1,"2020-06-10","Emergency Response Law of the People's Republic of China",NA
"China","Mar-Jun",0.05,0.3,0.057,1,0,0,2,0,0,3,1,0,1,1,1,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"China","Jul-Sep",0.05,0.3,0.057,1,0,0,2,0,0,3,1,0,1,1,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA
"Colombia","Mar-Sep",0.503,0.1,0.0999964,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,"2020-03-17","2020-06-05","2020-06-05",0,0,2,NA,NA,0,NA,NA,0,1,"2020-09-07","Constitution Article 215 and Law 137 from 1994",NA
"Colombia","Mar-Jun",0.503,0.1,0.0999964,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,1,NA,NA,NA
"Colombia","Jul-Sep",0.503,0.1,0.0999964,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA
"Costa Rica","Mar-Sep",0.816,0.15,0.075072,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"2020-03-16",NA,NA,0,0,2,NA,NA,0,NA,NA,1,0,"2020-09-08","Ley Nacional de Emergencias y Prevención del Riesgo (Ley 8488 del 22 de noviembre de 2005)","Costa Rica established a Vehicle Restriction Schedule, that limits when vehicles can circulate according to the license plate ending number."
"Costa Rica","Mar-Jun",0.816,0.15,0.0900864,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Costa Rica","Jul-Sep",0.816,0.1,0.0600576,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Croatia","Mar-Sep",0.545,0.1,0.049595,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,"2020-03-23","2020-05-11",NA,0,0,2,NA,NA,0,NA,NA,0,0,"2020-09-03","Zakon o sustavu civilne zaštite",NA
"Croatia","Mar-Jun",0.545,0.1,0.09919,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Croatia","Jul-Sep",0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Cuba","Mar-Sep",0.09,0.3,0.09828,0,0,1,2,0,0,3,0,0,1,1,0,0,0,0,0,1,0,4,"2020-05-12",NA,NA,0,0,2,NA,NA,0,NA,NA,2,0,"2020-09-22","Decreto 139 de 22 de febrero de 1988 “Reglamento de la Ley de la Salud Pública”",NA
"Cuba","Mar-Jun",0.09,0.3,0.09828,0,0,1,2,0,0,3,0,0,1,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Cuba","Jul-Sep",0.09,0.3,0.09828,0,0,1,2,0,0,3,0,0,1,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Czech Republic","Mar-Sep",0.697,0.05,0.0211191,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,"2020-03-13","2020-05-17","2020-05-17",1,1,2,NA,NA,0,NA,NA,1,1,"2020-09-04","Constitutional Act of Law No. 110/1998, Crisis Act No. 240/2000",NA
"Czech Republic","Mar-Jun",0.697,0.05,0.0422382,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,1,NA,NA,NA
"Czech Republic","Jul-Sep",0.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Democratic Republic of the Congo","Mar-Sep",0.139,0.5,0.1795185,0,0,2,0,3,2,3,0,0,0,1,1,0,0,1,2,2,1,1,"2020-03-25","2020-07-22","2020-04-25",1,1,4,"2020-03-18","2020-04-05",0,NA,NA,2,0,"2020-09-09","Constitution (2005), articles 85, 86, 144, 145.


",NA
"Democratic Republic of the Congo","Mar-Jun",0.139,0.45,0.2154222,0,0,2,0,3,1,3,0,0,0,1,1,0,0,1,1,2,1,NA,NA,NA,NA,NA,NA,4,NA,NA,0,NA,NA,NA,0,NA,NA,NA
